gene_symbol,go_id
A2ML1,GO:0000317
A2ML1,GO:0001317
A2ML1,GO:0002317
A2ML1,GO:0003317
AAAS,GO:0000278
AAAS,GO:0001278
AAAS,GO:0002278
AAAS,GO:0003278
AAGAB,GO:0000332
AAGAB,GO:0001332
AAGAB,GO:0002332
AARS1,GO:0000344
AARS1,GO:0001344
AARS1,GO:0002344
AARS1,GO:0003344
AARS2,GO:0000345
AARS2,GO:0001345
AARS2,GO:0002345
AARS2,GO:0003345
AASS,GO:0000296
AASS,GO:0001296
AASS,GO:0002296
ABAT,GO:0000280
ABAT,GO:0001280
ABAT,GO:0002280
ABAT,GO:0003280
ABCA1,GO:0000312
ABCA1,GO:0001312
ABCA1,GO:0002312
ABCA1,GO:0003312
ABCA1,GO:0004312
ABCA12,GO:0000362
ABCA12,GO:0001362
ABCA12,GO:0002362
ABCA12,GO:0003362
ABCA12,GO:0004362
ABCA2,GO:0000313
ABCA2,GO:0001313
ABCA2,GO:0002313
ABCA2,GO:0003313
ABCA2,GO:0004313
ABCA3,GO:0000314
ABCA3,GO:0001314
ABCA3,GO:0002314
ABCA4,GO:0000315
ABCA4,GO:0001315
ABCA4,GO:0002315
ABCA4,GO:0003315
ABCA5,GO:0000316
ABCA5,GO:0001316
ABCA5,GO:0002316
ABCA7,GO:0000318
ABCA7,GO:0001318
ABCA7,GO:0002318
ABCA7,GO:0003318
ABCA7,GO:0004318
ABCB1,GO:0000313
ABCB1,GO:0001313
ABCB1,GO:0002313
ABCB1,GO:0003313
ABCB1,GO:0004313
ABCB11,GO:0000362
ABCB11,GO:0001362
ABCB11,GO:0002362
ABCB11,GO:0003362
ABCB11,GO:0004362
ABCB4,GO:0000316
ABCB4,GO:0001316
ABCB4,GO:0002316
ABCB6,GO:0000318
ABCB6,GO:0001318
ABCB6,GO:0002318
ABCB6,GO:0003318
ABCB6,GO:0004318
ABCB7,GO:0000319
ABCB7,GO:0001319
ABCB7,GO:0002319
ABCC1,GO:0000314
ABCC1,GO:0001314
ABCC1,GO:0002314
ABCC2,GO:0000315
ABCC2,GO:0001315
ABCC2,GO:0002315
ABCC2,GO:0003315
ABCC6,GO:0000319
ABCC6,GO:0001319
ABCC6,GO:0002319
ABCC8,GO:0000321
ABCC8,GO:0001321
ABCC8,GO:0002321
ABCC8,GO:0003321
ABCC9,GO:0000322
ABCC9,GO:0001322
ABCC9,GO:0002322
ABCC9,GO:0003322
ABCC9,GO:0004322
ABCD1,GO:0000315
ABCD1,GO:0001315
ABCD1,GO:0002315
ABCD1,GO:0003315
ABCD3,GO:0000317
ABCD3,GO:0001317
ABCD3,GO:0002317
ABCD3,GO:0003317
ABCD4,GO:0000318
ABCD4,GO:0001318
ABCD4,GO:0002318
ABCD4,GO:0003318
ABCD4,GO:0004318
ABCG5,GO:0000322
ABCG5,GO:0001322
ABCG5,GO:0002322
ABCG5,GO:0003322
ABCG5,GO:0004322
ABCG8,GO:0000325
ABCG8,GO:0001325
ABCG8,GO:0002325
ABCG8,GO:0003325
ABCG8,GO:0004325
ABHD12,GO:0000370
ABHD12,GO:0001370
ABHD12,GO:0002370
ABHD16A,GO:0000439
ABHD16A,GO:0001439
ABHD16A,GO:0002439
ABHD16A,GO:0003439
ABHD5,GO:0000324
ABHD5,GO:0001324
ABHD5,GO:0002324
ABHD5,GO:0003324
ABHD5,GO:0004324
ABL1,GO:0000256
ABL1,GO:0001256
ABL1,GO:0002256
ABL1,GO:0003256
ACACA,GO:0000329
ACACA,GO:0001329
ACACA,GO:0002329
ACACA,GO:0003329
ACAD8,GO:0000321
ACAD8,GO:0001321
ACAD8,GO:0002321
ACAD8,GO:0003321
ACAD9,GO:0000322
ACAD9,GO:0001322
ACAD9,GO:0002322
ACAD9,GO:0003322
ACAD9,GO:0004322
ACADM,GO:0000342
ACADM,GO:0001342
ACADM,GO:0002342
ACADS,GO:0000348
ACADS,GO:0001348
ACADS,GO:0002348
ACADS,GO:0003348
ACADSB,GO:0000414
ACADSB,GO:0001414
ACADSB,GO:0002414
ACADSB,GO:0003414
ACADVL,GO:0000427
ACADVL,GO:0001427
ACADVL,GO:0002427
ACAN,GO:0000275
ACAN,GO:0001275
ACAN,GO:0002275
ACAT1,GO:0000330
ACAT1,GO:0001330
ACAT1,GO:0002330
ACAT1,GO:0003330
ACAT1,GO:0004330
ACAT2,GO:0000331
ACAT2,GO:0001331
ACAT2,GO:0002331
ACAT2,GO:0003331
ACAT2,GO:0004331
ACBD5,GO:0000319
ACBD5,GO:0001319
ACBD5,GO:0002319
ACD,GO:0000200
ACD,GO:0001200
ACD,GO:0002200
ACE,GO:0000201
ACE,GO:0001201
ACE,GO:0002201
ACER3,GO:0000334
ACER3,GO:0001334
ACER3,GO:0002334
ACKR3,GO:0000340
ACKR3,GO:0001340
ACKR3,GO:0002340
ACKR3,GO:0003340
ACO2,GO:0000261
ACO2,GO:0001261
ACO2,GO:0002261
ACO2,GO:0003261
ACOX1,GO:0000348
ACOX1,GO:0001348
ACOX1,GO:0002348
ACOX1,GO:0003348
ACOX2,GO:0000349
ACOX2,GO:0001349
ACOX2,GO:0002349
ACOX2,GO:0003349
ACP4,GO:0000264
ACP4,GO:0001264
ACP4,GO:0002264
ACP4,GO:0003264
ACP4,GO:0004264
ACP5,GO:0000265
ACP5,GO:0001265
ACP5,GO:0002265
ACP5,GO:0003265
ACR,GO:0000214
ACR,GO:0001214
ACR,GO:0002214
ACR,GO:0003214
ACR,GO:0004214
ACSF3,GO:0000336
ACSF3,GO:0001336
ACSF3,GO:0002336
ACSL4,GO:0000343
ACSL4,GO:0001343
ACSL4,GO:0002343
ACSL5,GO:0000344
ACSL5,GO:0001344
ACSL5,GO:0002344
ACSL5,GO:0003344
ACTA1,GO:0000330
ACTA1,GO:0001330
ACTA1,GO:0002330
ACTA1,GO:0003330
ACTA1,GO:0004330
ACTA2,GO:0000331
ACTA2,GO:0001331
ACTA2,GO:0002331
ACTA2,GO:0003331
ACTA2,GO:0004331
ACTB,GO:0000282
ACTB,GO:0001282
ACTB,GO:0002282
ACTB,GO:0003282
ACTB,GO:0004282
ACTC1,GO:0000332
ACTC1,GO:0001332
ACTC1,GO:0002332
ACTG1,GO:0000336
ACTG1,GO:0001336
ACTG1,GO:0002336
ACTG2,GO:0000337
ACTG2,GO:0001337
ACTG2,GO:0002337
ACTL6B,GO:0000412
ACTL6B,GO:0001412
ACTL6B,GO:0002412
ACTL6B,GO:0003412
ACTL7A,GO:0000412
ACTL7A,GO:0001412
ACTL7A,GO:0002412
ACTL7A,GO:0003412
ACTL9,GO:0000349
ACTL9,GO:0001349
ACTL9,GO:0002349
ACTL9,GO:0003349
ACTN1,GO:0000343
ACTN1,GO:0001343
ACTN1,GO:0002343
ACTN2,GO:0000344
ACTN2,GO:0001344
ACTN2,GO:0002344
ACTN2,GO:0003344
ACTN4,GO:0000346
ACTN4,GO:0001346
ACTN4,GO:0002346
ACTN4,GO:0003346
ACTN4,GO:0004346
ACVR1,GO:0000349
ACVR1,GO:0001349
ACVR1,GO:0002349
ACVR1,GO:0003349
ACVR2B,GO:0000416
ACVR2B,GO:0001416
ACVR2B,GO:0002416
ACVR2B,GO:0003416
ACVRL1,GO:0000425
ACVRL1,GO:0001425
ACVRL1,GO:0002425
ACVRL1,GO:0003425
ACY1,GO:0000270
ACY1,GO:0001270
ACY1,GO:0002270
ADA,GO:0000198
ADA,GO:0001198
ADA,GO:0002198
ADA2,GO:0000248
ADA2,GO:0001248
ADA2,GO:0002248
ADA2,GO:0003248
ADAM10,GO:0000372
ADAM10,GO:0001372
ADAM10,GO:0002372
ADAM17,GO:0000379
ADAM17,GO:0001379
ADAM17,GO:0002379
ADAM22,GO:0000375
ADAM22,GO:0001375
