go_id,hpo_id,score
GO:0000317,HP:0000738,0.89
GO:0001317,HP:0000739,0.11
GO:0001317,HP:0000740,0.83
GO:0002317,HP:0000740,0.84
GO:0002317,HP:0000741,0.85
GO:0002317,HP:0000742,0.86
GO:0003317,HP:0000741,0.86
GO:0000278,HP:0000744,0.12
GO:0001278,HP:0000745,0.14
GO:0001278,HP:0000746,0.15
GO:0002278,HP:0000746,0.16
GO:0002278,HP:0000748,0.18
GO:0002278,HP:0000749,0.19
GO:0003278,HP:0000748,0.19
GO:0000332,HP:0000734,0.82
GO:0001332,HP:0000736,0.85
GO:0001332,HP:0000737,0.86
GO:0002332,HP:0000737,0.87
GO:0002332,HP:0000738,0.88
GO:0002332,HP:0000739,0.89
GO:0000344,HP:0000738,0.89
GO:0001344,HP:0000739,0.11
GO:0001344,HP:0000740,0.83
GO:0002344,HP:0000740,0.84
GO:0002344,HP:0000741,0.85
GO:0002344,HP:0000742,0.86
GO:0003344,HP:0000741,0.86
GO:0000345,HP:0000739,0.11
GO:0000345,HP:0000740,0.83
GO:0001345,HP:0000740,0.84
GO:0001345,HP:0000741,0.85
GO:0001345,HP:0000742,0.86
GO:0002345,HP:0000741,0.86
GO:0003345,HP:0000742,0.88
GO:0003345,HP:0000743,0.89
GO:0000296,HP:0000744,0.12
GO:0001296,HP:0000745,0.14
GO:0001296,HP:0000746,0.15
GO:0002296,HP:0000746,0.16
GO:0002296,HP:0000748,0.18
GO:0002296,HP:0000749,0.19
GO:0000280,HP:0000737,0.87
GO:0000280,HP:0000738,0.88
GO:0000280,HP:0000739,0.89
GO:0001280,HP:0000738,0.89
GO:0002280,HP:0000739,0.11
GO:0002280,HP:0000740,0.83
GO:0003280,HP:0000740,0.84
GO:0003280,HP:0000741,0.85
GO:0003280,HP:0000742,0.86
GO:0000312,HP:0000732,0.78
GO:0000312,HP:0000733,0.79
GO:0001312,HP:0000733,0.8
GO:0001312,HP:0000734,0.81
GO:0001312,HP:0000736,0.83
GO:0002312,HP:0000734,0.82
GO:0003312,HP:0000736,0.85
GO:0003312,HP:0000737,0.86
GO:0004312,HP:0000737,0.87
GO:0004312,HP:0000738,0.88
GO:0004312,HP:0000739,0.89
GO:0000362,HP:0000738,0.89
GO:0001362,HP:0000739,0.11
GO:0001362,HP:0000740,0.83
GO:0002362,HP:0000740,0.84
GO:0002362,HP:0000741,0.85
GO:0002362,HP:0000742,0.86
GO:0003362,HP:0000741,0.86
GO:0004362,HP:0000742,0.88
GO:0004362,HP:0000743,0.89
GO:0000313,HP:0000733,0.8
GO:0000313,HP:0000734,0.81
GO:0000313,HP:0000736,0.83
