go_id,go_name
GO:0000317,GO term for A2ML1 1
GO:0001317,GO term for A2ML1 2
GO:0002317,GO term for A2ML1 3
GO:0003317,GO term for A2ML1 4
GO:0000278,GO term for AAAS 1
GO:0001278,GO term for AAAS 2
GO:0002278,GO term for AAAS 3
GO:0003278,GO term for AAAS 4
GO:0000332,GO term for AAGAB 1
GO:0001332,GO term for AAGAB 2
GO:0002332,GO term for AAGAB 3
GO:0000344,GO term for AARS1 1
GO:0001344,GO term for AARS1 2
GO:0002344,GO term for AARS1 3
GO:0003344,GO term for AARS1 4
GO:0000345,GO term for AARS2 1
GO:0001345,GO term for AARS2 2
GO:0002345,GO term for AARS2 3
GO:0003345,GO term for AARS2 4
GO:0000296,GO term for AASS 1
GO:0001296,GO term for AASS 2
GO:0002296,GO term for AASS 3
GO:0000280,GO term for ABAT 1
GO:0001280,GO term for ABAT 2
GO:0002280,GO term for ABAT 3
GO:0003280,GO term for ABAT 4
GO:0000312,GO term for ABCA1 1
GO:0001312,GO term for ABCA1 2
GO:0002312,GO term for ABCA1 3
GO:0003312,GO term for ABCA1 4
GO:0004312,GO term for ABCA1 5
GO:0000362,GO term for ABCA12 1
GO:0001362,GO term for ABCA12 2
GO:0002362,GO term for ABCA12 3
GO:0003362,GO term for ABCA12 4
GO:0004362,GO term for ABCA12 5
GO:0000313,GO term for ABCA2 1
GO:0001313,GO term for ABCA2 2
GO:0002313,GO term for ABCA2 3
GO:0003313,GO term for ABCA2 4
GO:0004313,GO term for ABCA2 5
GO:0000314,GO term for ABCA3 1
GO:0001314,GO term for ABCA3 2
GO:0002314,GO term for ABCA3 3
GO:0000315,GO term for ABCA4 1
GO:0001315,GO term for ABCA4 2
GO:0002315,GO term for ABCA4 3
GO:0003315,GO term for ABCA4 4
GO:0000316,GO term for ABCA5 1
GO:0001316,GO term for ABCA5 2
GO:0002316,GO term for ABCA5 3
GO:0000318,GO term for ABCA7 1
GO:0001318,GO term for ABCA7 2
GO:0002318,GO term for ABCA7 3
GO:0003318,GO term for ABCA7 4
GO:0004318,GO term for ABCA7 5
GO:0000319,GO term for ABCB7 1
GO:0001319,GO term for ABCB7 2
GO:0002319,GO term for ABCB7 3
GO:0000321,GO term for ABCC8 1
GO:0001321,GO term for ABCC8 2
GO:0002321,GO term for ABCC8 3
GO:0003321,GO term for ABCC8 4
GO:0000322,GO term for ABCC9 1
GO:0001322,GO term for ABCC9 2
GO:0002322,GO term for ABCC9 3
GO:0003322,GO term for ABCC9 4
GO:0004322,GO term for ABCC9 5
GO:0000325,GO term for ABCG8 1
GO:0001325,GO term for ABCG8 2
GO:0002325,GO term for ABCG8 3
GO:0003325,GO term for ABCG8 4
GO:0004325,GO term for ABCG8 5
GO:0000370,GO term for ABHD12 1
GO:0001370,GO term for ABHD12 2
GO:0002370,GO term for ABHD12 3
GO:0000439,GO term for ABHD16A 1
GO:0001439,GO term for ABHD16A 2
GO:0002439,GO term for ABHD16A 3
GO:0003439,GO term for ABHD16A 4
GO:0000324,GO term for ABHD5 1
GO:0001324,GO term for ABHD5 2
GO:0002324,GO term for ABHD5 3
GO:0003324,GO term for ABHD5 4
GO:0004324,GO term for ABHD5 5
GO:0000256,GO term for ABL1 1
GO:0001256,GO term for ABL1 2
GO:0002256,GO term for ABL1 3
GO:0003256,GO term for ABL1 4
GO:0000329,GO term for ACACA 1
GO:0001329,GO term for ACACA 2
GO:0002329,GO term for ACACA 3
GO:0003329,GO term for ACACA 4
GO:0000342,GO term for ACADM 1
GO:0001342,GO term for ACADM 2
GO:0002342,GO term for ACADM 3
GO:0000348,GO term for ACADS 1
GO:0001348,GO term for ACADS 2
GO:0002348,GO term for ACADS 3
GO:0003348,GO term for ACADS 4
GO:0000414,GO term for ACADSB 1
GO:0001414,GO term for ACADSB 2
GO:0002414,GO term for ACADSB 3
GO:0003414,GO term for ACADSB 4
GO:0000427,GO term for ACADVL 1
GO:0001427,GO term for ACADVL 2
GO:0002427,GO term for ACADVL 3
GO:0000275,GO term for ACAN 1
GO:0001275,GO term for ACAN 2
GO:0002275,GO term for ACAN 3
GO:0000330,GO term for ACAT1 1
GO:0001330,GO term for ACAT1 2
GO:0002330,GO term for ACAT1 3
GO:0003330,GO term for ACAT1 4
GO:0004330,GO term for ACAT1 5
GO:0000331,GO term for ACAT2 1
GO:0001331,GO term for ACAT2 2
GO:0002331,GO term for ACAT2 3
GO:0003331,GO term for ACAT2 4
GO:0004331,GO term for ACAT2 5
GO:0000200,GO term for ACD 1
GO:0001200,GO term for ACD 2
GO:0002200,GO term for ACD 3
GO:0000201,GO term for ACE 1
GO:0001201,GO term for ACE 2
GO:0002201,GO term for ACE 3
GO:0000334,GO term for ACER3 1
GO:0001334,GO term for ACER3 2
GO:0002334,GO term for ACER3 3
GO:0000340,GO term for ACKR3 1
GO:0001340,GO term for ACKR3 2
GO:0002340,GO term for ACKR3 3
GO:0003340,GO term for ACKR3 4
GO:0000261,GO term for ACO2 1
GO:0001261,GO term for ACO2 2
GO:0002261,GO term for ACO2 3
GO:0003261,GO term for ACO2 4
GO:0000349,GO term for ACOX2 1
GO:0001349,GO term for ACOX2 2
GO:0002349,GO term for ACOX2 3
GO:0003349,GO term for ACOX2 4
GO:0000264,GO term for ACP4 1
GO:0001264,GO term for ACP4 2
GO:0002264,GO term for ACP4 3
GO:0003264,GO term for ACP4 4
GO:0004264,GO term for ACP4 5
GO:0000265,GO term for ACP5 1
GO:0001265,GO term for ACP5 2
GO:0002265,GO term for ACP5 3
GO:0003265,GO term for ACP5 4
GO:0000214,GO term for ACR 1
GO:0001214,GO term for ACR 2
GO:0002214,GO term for ACR 3
GO:0003214,GO term for ACR 4
GO:0004214,GO term for ACR 5
GO:0000336,GO term for ACSF3 1
GO:0001336,GO term for ACSF3 2
GO:0002336,GO term for ACSF3 3
GO:0000343,GO term for ACSL4 1
GO:0001343,GO term for ACSL4 2
GO:0002343,GO term for ACSL4 3
GO:0000282,GO term for ACTB 1
GO:0001282,GO term for ACTB 2
GO:0002282,GO term for ACTB 3
GO:0003282,GO term for ACTB 4
GO:0004282,GO term for ACTB 5
GO:0000337,GO term for ACTG2 1
GO:0001337,GO term for ACTG2 2
GO:0002337,GO term for ACTG2 3
GO:0000412,GO term for ACTL6B 1
GO:0001412,GO term for ACTL6B 2
GO:0002412,GO term for ACTL6B 3
GO:0003412,GO term for ACTL6B 4
GO:0000346,GO term for ACTN4 1
GO:0001346,GO term for ACTN4 2
GO:0002346,GO term for ACTN4 3
GO:0003346,GO term for ACTN4 4
GO:0004346,GO term for ACTN4 5
GO:0000416,GO term for ACVR2B 1
GO:0001416,GO term for ACVR2B 2
GO:0002416,GO term for ACVR2B 3
GO:0003416,GO term for ACVR2B 4
GO:0000425,GO term for ACVRL1 1
GO:0001425,GO term for ACVRL1 2
GO:0002425,GO term for ACVRL1 3
GO:0003425,GO term for ACVRL1 4
GO:0000270,GO term for ACY1 1
GO:0001270,GO term for ACY1 2
GO:0002270,GO term for ACY1 3
GO:0000198,GO term for ADA 1
GO:0001198,GO term for ADA 2
GO:0002198,GO term for ADA 3
GO:0000248,GO term for ADA2 1
GO:0001248,GO term for ADA2 2
GO:0002248,GO term for ADA2 3
GO:0003248,GO term for ADA2 4
GO:0000372,GO term for ADAM10 1
GO:0001372,GO term for ADAM10 2
GO:0002372,GO term for ADAM10 3
GO:0000379,GO term for ADAM17 1
GO:0001379,GO term for ADAM17 2
GO:0002379,GO term for ADAM17 3
GO:0000375,GO term for ADAM22 1
GO:0001375,GO term for ADAM22 2
GO:0002375,GO term for ADAM22 3
GO:0000539,GO term for ADAMTS10 1
GO:0001539,GO term for ADAMTS10 2
GO:0002539,GO term for ADAMTS10 3
GO:0003539,GO term for ADAMTS10 4
GO:0000542,GO term for ADAMTS13 1
GO:0001542,GO term for ADAMTS13 2
GO:0002542,GO term for ADAMTS13 3
GO:0003542,GO term for ADAMTS13 4
GO:0000544,GO term for ADAMTS15 1
GO:0001544,GO term for ADAMTS15 2
GO:0002544,GO term for ADAMTS15 3
GO:0003544,GO term for ADAMTS15 4
GO:0004544,GO term for ADAMTS15 5
GO:0000546,GO term for ADAMTS17 1
GO:0001546,GO term for ADAMTS17 2
GO:0002546,GO term for ADAMTS17 3
GO:0000547,GO term for ADAMTS18 1
GO:0001547,GO term for ADAMTS18 2
GO:0002547,GO term for ADAMTS18 3
GO:0000548,GO term for ADAMTS19 1
GO:0001548,GO term for ADAMTS19 2
GO:0002548,GO term for ADAMTS19 3
GO:0000492,GO term for ADAMTS2 1
GO:0001492,GO term for ADAMTS2 2
GO:0002492,GO term for ADAMTS2 3
GO:0003492,GO term for ADAMTS2 4
GO:0004492,GO term for ADAMTS2 5
GO:0000493,GO term for ADAMTS3 1
GO:0001493,GO term for ADAMTS3 2
GO:0002493,GO term for ADAMTS3 3
GO:0003493,GO term for ADAMTS3 4
GO:0000567,GO term for ADAMTSL1 1
GO:0001567,GO term for ADAMTSL1 2
GO:0002567,GO term for ADAMTSL1 3
GO:0000568,GO term for ADAMTSL2 1
GO:0001568,GO term for ADAMTSL2 2
GO:0002568,GO term for ADAMTSL2 3
GO:0000570,GO term for ADAMTSL4 1
GO:0001570,GO term for ADAMTSL4 2
GO:0002570,GO term for ADAMTSL4 3
GO:0000395,GO term for ADARB1 1
GO:0001395,GO term for ADARB1 2
GO:0002395,GO term for ADARB1 3
GO:0003395,GO term for ADARB1 4
GO:0000333,GO term for ADAT3 1
GO:0001333,GO term for ADAT3 2
GO:0002333,GO term for ADAT3 3
GO:0003333,GO term for ADAT3 4
GO:0004333,GO term for ADAT3 5
GO:0000338,GO term for ADCY1 1
GO:0001338,GO term for ADCY1 2
GO:0002338,GO term for ADCY1 3
GO:0000386,GO term for ADCY10 1
GO:0001386,GO term for ADCY10 2
GO:0002386,GO term for ADCY10 3
GO:0003386,GO term for ADCY10 4
GO:0004386,GO term for ADCY10 5
GO:0000250,GO term for ADD1 1
GO:0001250,GO term for ADD1 2
GO:0002250,GO term for ADD1 3
GO:0003250,GO term for ADD1 4
