hpo_id,maxo_label
HP:0003784,medical action
HP:0002450,medical action
HP:0025181,medical action
HP:0001194,medical action
HP:0001197,medical action
HP:0025155,medical action
HP:0410169,medical action
HP:0410210,medical action
HP:0001293,medical action
HP:0001291,medical action
HP:0001273,medical action
HP:0025231,medical action
HP:0002585,medical action
HP:0002579,medical action
HP:0002577,medical action
HP:0002597,medical action
HP:0002589,medical action
HP:0025270,medical action
HP:0025354,medical action
HP:0002693,medical action
HP:0003942,medical action
HP:0025463,medical action
HP:0002733,medical action
HP:0003347,medical action
HP:0003358,medical action
HP:0003398,medical action
HP:0003575,medical action
HP:0100727,medical action
HP:0003287,medical action
HP:0030059,medical action
HP:0003288,medical action
HP:0008314,medical action
HP:0008316,medical action
HP:0008347,medical action
HP:0011922,medical action
HP:0011923,medical action
HP:0011924,medical action
HP:0011925,medical action
HP:0003232,medical action
HP:0002928,medical action
HP:0008972,medical action
HP:0008306,medical action
HP:0040015,medical action
HP:0008265,medical action
HP:0200125,medical action
HP:0003647,medical action
HP:0003514,medical action
HP:0020054,medical action
HP:0005546,medical action
HP:0004825,medical action
HP:0005502,medical action
HP:0025016,medical action
HP:0004915,medical action
HP:0011878,medical action
HP:0011879,medical action
HP:0001975,medical action
HP:0031125,medical action
HP:0031124,medical action
HP:0031156,medical action
HP:0011882,medical action
HP:0011881,medical action
HP:0001939,medical action
HP:0012689,medical action
HP:0009025,medical action
HP:0012639,medical action
HP:0011438,medical action
HP:0000927,medical action
HP:0000864,medical action
HP:0000834,medical action
HP:0000849,medical action
HP:0000812,medical action
HP:0010288,medical action
HP:0010287,medical action
HP:0010286,medical action
HP:0045073,medical action
HP:0033137,medical action
HP:0033012,medical action
HP:0012253,medical action
HP:0000271,medical action
HP:0012243,medical action
HP:0002817,medical action
HP:0002814,medical action
HP:0001574,medical action
HP:0000234,medical action
HP:0002847,medical action
HP:0002846,medical action
HP:0002843,medical action
HP:0011028,medical action
HP:0011025,medical action
HP:0011033,medical action
HP:0011032,medical action
HP:0011017,medical action
HP:0011018,medical action
HP:0012338,medical action
HP:0012339,medical action
HP:0012340,medical action
HP:0011004,medical action
HP:0012337,medical action
HP:0012331,medical action
HP:0012332,medical action
HP:0000315,medical action
HP:0001627,medical action
HP:0001732,medical action
HP:0000464,medical action
HP:0011116,medical action
HP:0012448,medical action
HP:0011115,medical action
HP:0012447,medical action
HP:0000471,medical action
HP:0012440,medical action
HP:0012443,medical action
HP:0001743,medical action
HP:0011297,medical action
HP:0012535,medical action
HP:0032245,medical action
HP:0010885,medical action
HP:0031983,medical action
HP:0008775,medical action
HP:0008742,medical action
HP:0031065,medical action
HP:0006009,medical action
HP:0033674,medical action
HP:0031155,medical action
HP:0031131,medical action
HP:0031132,medical action
HP:0031133,medical action
HP:0031272,medical action
HP:0500048,medical action
HP:0031285,medical action
HP:0500019,medical action
HP:0025443,medical action
HP:0005168,medical action
HP:0031299,medical action
HP:0500016,medical action
HP:0500015,medical action
HP:0006278,medical action
HP:0032536,medical action
HP:0032537,medical action
HP:0032576,medical action
HP:0032580,medical action
HP:0011805,medical action
HP:0034430,medical action
HP:0011718,medical action
HP:0034484,medical action
HP:0008178,medical action
HP:0010478,medical action
HP:0030733,medical action
HP:0010479,medical action
HP:0030754,medical action
HP:0010477,medical action
HP:0011915,medical action
HP:0034546,medical action
HP:0033241,medical action
HP:0011855,medical action
HP:0011843,medical action
HP:0011844,medical action
HP:0011842,medical action
HP:0008271,medical action
HP:0002732,ultrasonography procedure
HP:0025699,positron emission tomography procedure
HP:0032241,pap smear examination
HP:0030079,pap smear examination
